"feature","SPI","accuracy","p.value","p.value.adj"
"1","cov_EmpiricalCovariance",0.582973046871561,0.128,0.128
"2","cov_EllipticEnvelope",0.509122445031632,0.444,0.444
"3","cov_GraphicalLasso",0.525619732037342,0.268,0.268
"4","cov_GraphicalLassoCV",0.52609182425003,0.448,0.448
"5","cov_LedoitWolf",0.515522388059702,0.204,0.204
"6","cov_MinCovDet",0.455410359778944,0.688,0.688
"7","cov_OAS",0.498883799176788,0.592,0.592
"8","cov_ShrunkCovariance",0.496163860703286,0.536,0.536
"9","cov.sq_EmpiricalCovariance",0.51548800084297,0.38,0.38
"10","cov.sq_EllipticEnvelope",0.476673772625521,0.396,0.396
"11","cov.sq_GraphicalLasso",0.514722922185609,0.48,0.48
"12","cov.sq_GraphicalLassoCV",0.467889947310531,0.44,0.44
"13","cov.sq_LedoitWolf",0.507946369364865,0.324,0.324
"14","cov.sq_MinCovDet",0.49067678684377,0.632,0.632
"15","cov.sq_OAS",0.495248371087565,0.568,0.568
"16","cov.sq_ShrunkCovariance",0.497198112697383,0.56,0.56
"17","prec_EmpiricalCovariance",0.485830196489944,0.448,0.448
"18","prec_EllipticEnvelope",0.508350586611456,0.392,0.392
"19","prec_GraphicalLasso",0.420541958041958,0.536,0.536
"20","prec_GraphicalLassoCV",0.490885945693723,0.44,0.44
"21","prec_LedoitWolf",0.537216970121382,0.244,0.244
"22","prec_MinCovDet",0.498633752494562,0.384,0.384
"23","prec_OAS",0.456798204104831,0.5,0.5
"24","prec_ShrunkCovariance",0.51585885331144,0.448,0.448
"25","prec.sq_EmpiricalCovariance",0.51752809118088,0.628,0.628
"26","prec.sq_EllipticEnvelope",0.476244358469454,0.54,0.54
"27","prec.sq_GraphicalLasso",0.513776504333035,0.516,0.516
"28","prec.sq_GraphicalLassoCV",0.492334694415174,0.572,0.572
"29","prec.sq_LedoitWolf",0.458562834096526,0.424,0.424
"30","prec.sq_MinCovDet",0.530659640905543,0.524,0.524
"31","prec.sq_OAS",0.473401583975475,0.42,0.42
"32","prec.sq_ShrunkCovariance",0.500375729511241,0.44,0.44
"33","spearmanr.sq",0.467002343651925,0.576,0.576
"34","spearmanr",0.516883523362397,0.2,0.2
"35","kendalltau.sq",0.451598760006255,0.528,0.528
"36","kendalltau",0.481568713772104,0.632,0.632
"37","xcorr_max_sig.True",0.458776107849073,0.596,0.596
